incident_id,date,year,month,month_name,hour,time_slot,emirate,incident_type,road_type,vehicle_type,weather_condition,severity_score,fatalities,injuries,response_time_min,fine_aed
INC-00001,2022-08-02,2022,8,August,21,Night (19-24),Abu Dhabi,Parking Violation,Highway,Sedan,Sandstorm,2,0,2,16.7,600
INC-00002,2020-04-02,2020,4,April,22,Night (19-24),Dubai,Pedestrian Accident,Highway,Van,Rain,2,0,0,10.3,3000
INC-00003,2023-02-25,2023,2,February,15,Evening Rush (15-19),Abu Dhabi,Distracted Driving,Highway,Van,Clear,5,0,1,11.2,0
INC-00004,2022-04-24,2022,4,April,11,Midday (9-15),Abu Dhabi,Wrong Way Driving,Highway,SUV,Heatwave,3,0,0,11.5,400
INC-00005,2020-03-23,2020,3,March,4,Early Morning (0-6),Dubai,Reckless Driving,Urban Street,Sedan,Heatwave,2,0,4,5.8,400
INC-00006,2022-02-23,2022,2,February,15,Evening Rush (15-19),Sharjah,Tailgating,Coastal Road,Sedan,Fog,3,0,5,9.7,3000
INC-00007,2022-01-21,2022,1,January,9,Midday (9-15),Sharjah,Distracted Driving,Urban Street,Sedan,Sandstorm,3,0,3,11.5,2000
INC-00008,2020-07-23,2020,7,July,21,Night (19-24),Abu Dhabi,Vehicle Collision,Urban Street,Van,Sandstorm,5,0,0,15.6,0
INC-00009,2023-04-04,2023,4,April,17,Evening Rush (15-19),Ajman,Wrong Way Driving,Highway,SUV,Sandstorm,5,0,6,13.0,0
INC-00010,2020-11-27,2020,11,November,23,Night (19-24),Dubai,DUI,Highway,Motorcycle,Fog,3,0,1,6.8,800
INC-00011,2019-07-29,2019,7,July,17,Evening Rush (15-19),Sharjah,Parking Violation,Coastal Road,Truck,Fog,2,0,0,9.3,800
INC-00012,2023-10-02,2023,10,October,16,Evening Rush (15-19),Abu Dhabi,DUI,Highway,SUV,Sandstorm,3,0,2,11.7,400
INC-00013,2023-02-03,2023,2,February,22,Night (19-24),Abu Dhabi,Vehicle Collision,Residential,SUV,Fog,4,0,1,4.1,0
